model,set_id,category,title,variant1,variant2,tokenization1,tokenization2,embedding_similarity,perf_difference
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q2,19_Q4,russian_transliterated,english_with_russian_case,0.6221291,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q3,19_Q4,russian_unhyphenated,english_with_russian_case,0.47175843,1.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q2,russian_cyrillic,russian_transliterated,0.6894689,1.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q3,russian_cyrillic,russian_unhyphenated,0.97364944,0.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q1,19_Q4,russian_cyrillic,english_with_russian_case,0.6692435,0.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q2,19_Q3,russian_transliterated,russian_unhyphenated,0.6522604,1.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q2,19_Q4,russian_transliterated,english_with_russian_case,0.7151457,1.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q3,19_Q4,russian_unhyphenated,english_with_russian_case,0.60178256,0.0
Qwen/Qwen2.5-7B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,2_Q2,original,split_shortened,0.8798871,0.0
Qwen/Qwen2.5-7B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,2_Q3,original,abbreviated,0.8024089,0.0
Qwen/Qwen2.5-7B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q2,2_Q3,split_shortened,abbreviated,0.9648869,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,2_Q2,original,split_shortened,0.80110765,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,2_Q3,original,abbreviated,0.6503051,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q2,2_Q3,split_shortened,abbreviated,0.86384994,1.0
Qwen/Qwen2.5-0.5B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,2_Q2,original,split_shortened,0.81969345,0.0
Qwen/Qwen2.5-0.5B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q1,2_Q3,original,abbreviated,0.7068459,0.0
Qwen/Qwen2.5-0.5B-Instruct,2,Rare Character Sequences,Welsh Village,2_Q2,2_Q3,split_shortened,abbreviated,0.9510607,0.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q2,japanese_mixed_scripts,japanese_hiragana_katakana,0.9243151,0.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q3,japanese_mixed_scripts,japanese_romaji,0.72028685,0.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q4,japanese_mixed_scripts,japanese_word_split,0.7970853,0.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,20_Q3,japanese_hiragana_katakana,japanese_romaji,0.7173794,0.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,20_Q4,japanese_hiragana_katakana,japanese_word_split,0.7824774,0.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q3,20_Q4,japanese_romaji,japanese_word_split,0.6534229,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q2,japanese_mixed_scripts,japanese_hiragana_katakana,0.83494306,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q3,japanese_mixed_scripts,japanese_romaji,0.3699912,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q4,japanese_mixed_scripts,japanese_word_split,0.72406894,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,20_Q3,japanese_hiragana_katakana,japanese_romaji,0.38224503,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,20_Q4,japanese_hiragana_katakana,japanese_word_split,0.66030407,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q3,20_Q4,japanese_romaji,japanese_word_split,0.41443488,1.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q2,japanese_mixed_scripts,japanese_hiragana_katakana,0.903676,0.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q3,japanese_mixed_scripts,japanese_romaji,0.6452374,0.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,20_Q4,japanese_mixed_scripts,japanese_word_split,0.6553125,0.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,20_Q3,japanese_hiragana_katakana,japanese_romaji,0.612671,0.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,20_Q4,japanese_hiragana_katakana,japanese_word_split,0.61711735,0.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q3,20_Q4,japanese_romaji,japanese_word_split,0.60628927,0.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q2,bengali_standard,bengali_split,0.98697376,0.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q3,bengali_standard,bengali_transliterated,0.5222746,1.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q4,bengali_standard,english_translation,0.45405966,0.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,21_Q3,bengali_split,bengali_transliterated,0.5084408,1.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,21_Q4,bengali_split,english_translation,0.4444238,0.0
Qwen/Qwen2.5-7B-Instruct,21,Multi-linguality,Bengali Script,21_Q3,21_Q4,bengali_transliterated,english_translation,0.68116266,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q2,bengali_standard,bengali_split,0.9835563,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q3,bengali_standard,bengali_transliterated,0.31455705,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q4,bengali_standard,english_translation,0.24062324,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,21_Q3,bengali_split,bengali_transliterated,0.31812096,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,21_Q4,bengali_split,english_translation,0.24786788,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,21,Multi-linguality,Bengali Script,21_Q3,21_Q4,bengali_transliterated,english_translation,0.42141995,0.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q2,bengali_standard,bengali_split,0.98704505,0.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q3,bengali_standard,bengali_transliterated,0.20440489,0.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q1,21_Q4,bengali_standard,english_translation,0.062849656,0.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,21_Q3,bengali_split,bengali_transliterated,0.20393568,0.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q2,21_Q4,bengali_split,english_translation,0.07224282,0.0
Qwen/Qwen2.5-0.5B-Instruct,21,Multi-linguality,Bengali Script,21_Q3,21_Q4,bengali_transliterated,english_translation,0.5800436,0.0
Qwen/Qwen2.5-7B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q2,swahili_standard,swahili_morpheme_split,0.96654236,0.0
Qwen/Qwen2.5-7B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q3,swahili_standard,english_translation,0.72183335,0.0
Qwen/Qwen2.5-7B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q4,swahili_standard,swahili_alternative_phrasing,0.97602344,0.0
Qwen/Qwen2.5-7B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q2,22_Q3,swahili_morpheme_split,english_translation,0.72798157,0.0
Qwen/Qwen2.5-7B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q2,22_Q4,swahili_morpheme_split,swahili_alternative_phrasing,0.94759494,0.0
Qwen/Qwen2.5-7B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q3,22_Q4,english_translation,swahili_alternative_phrasing,0.70676357,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q2,swahili_standard,swahili_morpheme_split,0.9158754,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q3,swahili_standard,english_translation,0.5308868,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q4,swahili_standard,swahili_alternative_phrasing,0.9534944,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q2,22_Q3,swahili_morpheme_split,english_translation,0.5403746,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q2,22_Q4,swahili_morpheme_split,swahili_alternative_phrasing,0.8839967,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q3,22_Q4,english_translation,swahili_alternative_phrasing,0.533569,0.0
Qwen/Qwen2.5-0.5B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q2,swahili_standard,swahili_morpheme_split,0.9721273,0.0
Qwen/Qwen2.5-0.5B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q3,swahili_standard,english_translation,0.6303543,0.0
Qwen/Qwen2.5-0.5B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q1,22_Q4,swahili_standard,swahili_alternative_phrasing,0.9678783,0.0
Qwen/Qwen2.5-0.5B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q2,22_Q3,swahili_morpheme_split,english_translation,0.65485626,0.0
Qwen/Qwen2.5-0.5B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q2,22_Q4,swahili_morpheme_split,swahili_alternative_phrasing,0.9472571,0.0
Qwen/Qwen2.5-0.5B-Instruct,22,Multi-linguality,Swahili Noun Classes,22_Q3,22_Q4,english_translation,swahili_alternative_phrasing,0.6202957,0.0
Qwen/Qwen2.5-7B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q2,thai_standard,thai_word_split,0.80241555,0.0
Qwen/Qwen2.5-7B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q3,thai_standard,thai_transliterated,0.6484202,0.0
Qwen/Qwen2.5-7B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q4,thai_standard,english_translation,0.7846777,0.0
Qwen/Qwen2.5-7B-Instruct,23,Multi-linguality,Thai Script,23_Q2,23_Q3,thai_word_split,thai_transliterated,0.56492746,0.0
Qwen/Qwen2.5-7B-Instruct,23,Multi-linguality,Thai Script,23_Q2,23_Q4,thai_word_split,english_translation,0.70236886,0.0
Qwen/Qwen2.5-7B-Instruct,23,Multi-linguality,Thai Script,23_Q3,23_Q4,thai_transliterated,english_translation,0.70367116,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q2,thai_standard,thai_word_split,0.6411692,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q3,thai_standard,thai_transliterated,0.31085166,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q4,thai_standard,english_translation,0.37698078,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,23,Multi-linguality,Thai Script,23_Q2,23_Q3,thai_word_split,thai_transliterated,0.3050405,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,23,Multi-linguality,Thai Script,23_Q2,23_Q4,thai_word_split,english_translation,0.3099043,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,23,Multi-linguality,Thai Script,23_Q3,23_Q4,thai_transliterated,english_translation,0.4693142,0.0
Qwen/Qwen2.5-0.5B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q2,thai_standard,thai_word_split,0.46592972,0.0
Qwen/Qwen2.5-0.5B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q3,thai_standard,thai_transliterated,0.4583018,1.0
Qwen/Qwen2.5-0.5B-Instruct,23,Multi-linguality,Thai Script,23_Q1,23_Q4,thai_standard,english_translation,0.557896,0.0
Qwen/Qwen2.5-0.5B-Instruct,23,Multi-linguality,Thai Script,23_Q2,23_Q3,thai_word_split,thai_transliterated,0.44721243,1.0
Qwen/Qwen2.5-0.5B-Instruct,23,Multi-linguality,Thai Script,23_Q2,23_Q4,thai_word_split,english_translation,0.65443724,0.0
Qwen/Qwen2.5-0.5B-Instruct,23,Multi-linguality,Thai Script,23_Q3,23_Q4,thai_transliterated,english_translation,0.61914855,1.0
Qwen/Qwen2.5-7B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q2,telugu_standard,telugu_partial_split,0.998849,0.0
Qwen/Qwen2.5-7B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q3,telugu_standard,telugu_transliterated,0.3587386,0.0
Qwen/Qwen2.5-7B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q4,telugu_standard,english_translation,0.3990846,0.0
Qwen/Qwen2.5-7B-Instruct,24,Multi-linguality,Telugu Script,24_Q2,24_Q3,telugu_partial_split,telugu_transliterated,0.36377013,0.0
Qwen/Qwen2.5-7B-Instruct,24,Multi-linguality,Telugu Script,24_Q2,24_Q4,telugu_partial_split,english_translation,0.40442806,0.0
Qwen/Qwen2.5-7B-Instruct,24,Multi-linguality,Telugu Script,24_Q3,24_Q4,telugu_transliterated,english_translation,0.88502944,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q2,telugu_standard,telugu_partial_split,0.9986025,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q3,telugu_standard,telugu_transliterated,0.20348766,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q4,telugu_standard,english_translation,0.21356046,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,24,Multi-linguality,Telugu Script,24_Q2,24_Q3,telugu_partial_split,telugu_transliterated,0.20956475,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,24,Multi-linguality,Telugu Script,24_Q2,24_Q4,telugu_partial_split,english_translation,0.21928409,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,24,Multi-linguality,Telugu Script,24_Q3,24_Q4,telugu_transliterated,english_translation,0.70479834,0.0
Qwen/Qwen2.5-0.5B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q2,telugu_standard,telugu_partial_split,0.9989358,0.0
Qwen/Qwen2.5-0.5B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q3,telugu_standard,telugu_transliterated,0.25531948,1.0
Qwen/Qwen2.5-0.5B-Instruct,24,Multi-linguality,Telugu Script,24_Q1,24_Q4,telugu_standard,english_translation,0.06581224,0.0
Qwen/Qwen2.5-0.5B-Instruct,24,Multi-linguality,Telugu Script,24_Q2,24_Q3,telugu_partial_split,telugu_transliterated,0.25662637,1.0
Qwen/Qwen2.5-0.5B-Instruct,24,Multi-linguality,Telugu Script,24_Q2,24_Q4,telugu_partial_split,english_translation,0.06344773,0.0
Qwen/Qwen2.5-0.5B-Instruct,24,Multi-linguality,Telugu Script,24_Q3,24_Q4,telugu_transliterated,english_translation,0.7860123,1.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q2,no_separators,comma_separators,0.99658656,0.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q3,no_separators,period_separators,0.9978018,0.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q4,no_separators,space_separators,0.99828607,1.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q2,25_Q3,comma_separators,period_separators,0.99621904,0.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q2,25_Q4,comma_separators,space_separators,0.9958026,1.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q3,25_Q4,period_separators,space_separators,0.99636596,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q2,no_separators,comma_separators,0.95004296,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q3,no_separators,period_separators,0.9517405,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q4,no_separators,space_separators,0.9519235,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q2,25_Q3,comma_separators,period_separators,0.9937125,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q2,25_Q4,comma_separators,space_separators,0.99204826,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q3,25_Q4,period_separators,space_separators,0.9933468,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q2,no_separators,comma_separators,0.9985025,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q3,no_separators,period_separators,0.9986019,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q1,25_Q4,no_separators,space_separators,0.9982201,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q2,25_Q3,comma_separators,period_separators,0.99846846,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q2,25_Q4,comma_separators,space_separators,0.9975537,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q3,25_Q4,period_separators,space_separators,0.99736196,0.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q2,no_separators,comma_separators,0.97106355,0.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q3,no_separators,scientific_notation,0.8941275,1.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q4,no_separators,computer_scientific_notation,0.86895156,1.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q2,26_Q3,comma_separators,scientific_notation,0.9064963,1.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q2,26_Q4,comma_separators,computer_scientific_notation,0.884614,1.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q3,26_Q4,scientific_notation,computer_scientific_notation,0.96009046,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q2,no_separators,comma_separators,0.89353436,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q3,no_separators,scientific_notation,0.80522764,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q4,no_separators,computer_scientific_notation,0.8388464,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q2,26_Q3,comma_separators,scientific_notation,0.7635875,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q2,26_Q4,comma_separators,computer_scientific_notation,0.7944074,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q3,26_Q4,scientific_notation,computer_scientific_notation,0.91179204,0.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q2,no_separators,comma_separators,0.9881767,0.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q3,no_separators,scientific_notation,0.9441941,1.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,26_Q4,no_separators,computer_scientific_notation,0.91523886,1.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q2,26_Q3,comma_separators,scientific_notation,0.957609,1.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q2,26_Q4,comma_separators,computer_scientific_notation,0.93083596,1.0
Qwen/Qwen2.5-0.5B-Instruct,26,Number Formatting,Scientific Notation,26_Q3,26_Q4,scientific_notation,computer_scientific_notation,0.96604323,0.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q2,period_decimal,comma_decimal,0.9958958,0.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q3,period_decimal,middle_dot_decimal,0.9944112,0.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q4,period_decimal,space_decimal,0.996062,0.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,27_Q3,comma_decimal,middle_dot_decimal,0.9931041,0.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,27_Q4,comma_decimal,space_decimal,0.99552155,0.0
Qwen/Qwen2.5-7B-Instruct,27,Number Formatting,Decimal Separator,27_Q3,27_Q4,middle_dot_decimal,space_decimal,0.9947933,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q2,period_decimal,comma_decimal,0.99269503,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q3,period_decimal,middle_dot_decimal,0.98190725,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q4,period_decimal,space_decimal,0.9922863,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,27_Q3,comma_decimal,middle_dot_decimal,0.9784892,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,27_Q4,comma_decimal,space_decimal,0.9907553,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,27,Number Formatting,Decimal Separator,27_Q3,27_Q4,middle_dot_decimal,space_decimal,0.9804084,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q2,period_decimal,comma_decimal,0.99843925,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q3,period_decimal,middle_dot_decimal,0.99704677,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q1,27_Q4,period_decimal,space_decimal,0.9973204,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,27_Q3,comma_decimal,middle_dot_decimal,0.9967646,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q2,27_Q4,comma_decimal,space_decimal,0.9975061,0.0
Qwen/Qwen2.5-0.5B-Instruct,27,Number Formatting,Decimal Separator,27_Q3,27_Q4,middle_dot_decimal,space_decimal,0.9963741,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q2,standard_notation,caret_notation,0.9925829,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q3,standard_notation,multiplication_notation,0.9657623,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q4,standard_notation,python_power_notation,0.99228454,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q5,standard_notation,markdown_math,0.97841585,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q6,standard_notation,latex_environment,0.9296193,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q2,28_Q3,caret_notation,multiplication_notation,0.96343017,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q2,28_Q4,caret_notation,python_power_notation,0.9949675,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q2,28_Q5,caret_notation,markdown_math,0.9885805,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q2,28_Q6,caret_notation,latex_environment,0.9443575,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q3,28_Q4,multiplication_notation,python_power_notation,0.96426153,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q3,28_Q5,multiplication_notation,markdown_math,0.95336276,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q3,28_Q6,multiplication_notation,latex_environment,0.9096498,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q4,28_Q5,python_power_notation,markdown_math,0.98290694,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q4,28_Q6,python_power_notation,latex_environment,0.93791443,0.0
Qwen/Qwen2.5-7B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q5,28_Q6,markdown_math,latex_environment,0.94961566,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q2,standard_notation,caret_notation,0.98021823,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q3,standard_notation,multiplication_notation,0.8646912,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q4,standard_notation,python_power_notation,0.9801464,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,28,Mathematical Expressions,Quadratic Formula,28_Q1,28_Q5,standard_notation,markdown_math,0.9450528,0.0
